Campaign_ID,Campaign_Name,Campaign_Type,Platform,Start_Date,End_Date,Region,Audience_Segment,Impressions,Clicks,CTR_%,Leads_Generated,Conversions,Conversion_Rate_%,Marketing_Spend,Revenue_Generated,ROI_%,CPC,CPM,Customer_Acquisition_Cost
C001,Summer Sale 2024,Awareness,Google Ads,2024-04-12,2024-05-17,North America,18-24,1195125,27056,2.26,733,55,7.5,31371.42,23000.92,-26.68,1.16,26.25,570.39
C002,Product Launch Pro Max,Consideration,Facebook,2024-10-20,2024-10-28,Europe,25-34,676252,15414,2.28,912,151,16.56,32617.19,69051.96,111.7,2.12,48.23,216.01
C003,Brand Awareness Q3,Conversion,Instagram,2024-09-27,2024-10-06,Asia Pacific,35-44,531275,26378,4.97,2381,721,30.28,41928.72,273914.66,553.29,1.59,78.92,58.15
C004,Holiday Special 2024,Retention,LinkedIn,2024-09-20,2024-10-31,Latin America,45-54,247307,10690,4.32,1205,369,30.62,19986.36,231051.59,1056.05,1.87,80.82,54.16
C005,Retention Campaign Loyalty,Seasonal,Email,2024-08-02,2024-08-29,Middle East & Africa,55+,381328,20108,5.27,867,98,11.3,30581.67,30778.36,0.64,1.52,80.2,312.06
C006,New Year Flash Sale,Awareness,YouTube,2024-05-18,2024-06-10,North America,18-24,1206385,20525,1.7,744,71,9.54,44708.49,36791.31,-17.71,2.18,37.06,629.7
C007,Spring Collection Launch,Consideration,Google Ads,2024-03-02,2024-04-01,Europe,25-34,754050,21655,2.87,1541,326,21.16,50555.59,100177.84,98.15,2.33,67.05,155.08
C008,Festive Season Campaign,Conversion,Facebook,2024-07-25,2024-08-15,Asia Pacific,35-44,436707,14580,3.34,1282,438,34.17,45366.05,226254.65,398.73,3.11,103.88,103.58
C009,Customer Re-engagement,Retention,Instagram,2024-05-22,2024-06-26,Latin America,45-54,246043,18332,7.45,2548,998,39.17,15950.26,503219.71,3054.93,0.87,64.83,15.98
C010,Winter Clearance Sale,Seasonal,LinkedIn,2024-08-18,2024-09-26,Middle East & Africa,55+,561195,11711,2.09,516,58,11.24,22121.7,49277.45,122.76,1.89,39.42,381.41
C011,Lead Gen Campaign Q4,Awareness,Email,2024-08-21,2024-09-20,North America,18-24,1078266,32530,3.02,1062,111,10.45,36547.15,22817.52,-37.57,1.12,33.89,329.25
C012,Cross-Sell Initiative,Consideration,YouTube,2024-03-21,2024-03-29,Europe,25-34,657375,14737,2.24,812,141,17.36,35129.68,58424.81,66.31,2.38,53.44,249.15
C013,Market Expansion EU,Conversion,Google Ads,2024-11-19,2024-12-06,Asia Pacific,35-44,400859,20203,5.04,2262,739,32.67,50137.86,354723.51,607.5,2.48,125.08,67.85
C014,VIP Customer Program,Retention,Facebook,2024-09-15,2024-10-11,Latin America,45-54,229722,10777,4.69,1211,408,33.69,15867.68,214947.12,1254.62,1.47,69.07,38.89
C015,YouTube Brand Series,Seasonal,Instagram,2024-05-08,2024-05-25,Middle East & Africa,55+,432430,18720,4.33,979,141,14.4,29081.39,31826.21,9.44,1.55,67.25,206.25
C016,LinkedIn Thought Leadership,Awareness,LinkedIn,2024-05-19,2024-05-30,North America,18-24,1135603,17808,1.57,562,46,8.19,46327.02,23575.9,-49.11,2.6,40.8,1007.11
C017,Email Drip Campaign,Consideration,Email,2024-03-15,2024-03-29,Europe,25-34,724651,31172,4.3,2410,432,17.93,40543.64,74412.25,83.54,1.3,55.95,93.85
C018,Instagram Influencer Collab,Conversion,YouTube,2024-06-09,2024-06-19,Asia Pacific,35-44,439761,13611,3.1,1346,478,35.51,46598.93,214598.3,360.52,3.42,105.96,97.49
C019,Facebook Retargeting,Retention,Google Ads,2024-01-22,2024-02-27,Latin America,45-54,276761,18713,6.76,2550,843,33.06,19795.59,413530.67,1989.0,1.06,71.53,23.48
C020,Google Search Campaign,Seasonal,Facebook,2024-02-04,2024-02-27,Middle East & Africa,55+,426998,14122,3.31,638,96,15.05,36833.1,21253.63,-42.3,2.61,86.26,383.68
C021,Product Demo Webinars,Awareness,Instagram,2024-07-06,2024-08-14,North America,18-24,1068956,23276,2.18,662,49,7.4,42261.02,24691.05,-41.57,1.82,39.53,862.47
C022,Referral Program Launch,Consideration,LinkedIn,2024-05-06,2024-06-08,Europe,25-34,553060,10174,1.84,751,119,15.85,37739.77,27241.25,-27.82,3.71,68.24,317.14
C023,Free Trial Campaign,Conversion,Email,2024-01-13,2024-01-26,Asia Pacific,35-44,607801,40014,6.58,4661,1525,32.72,45644.52,616707.04,1251.11,1.14,75.1,29.93
C024,Cart Abandonment Recovery,Retention,YouTube,2024-06-01,2024-06-29,Latin America,45-54,244050,11030,4.52,918,311,33.88,18884.83,132407.26,601.13,1.71,77.38,60.72
C025,Black Friday Blitz,Seasonal,Google Ads,2024-01-05,2024-01-15,Middle East & Africa,55+,461231,15803,3.43,745,95,12.75,33321.97,40699.76,22.14,2.11,72.25,350.76
C026,Christmas Special Offer,Awareness,Facebook,2024-02-27,2024-03-30,North America,18-24,1024409,15813,1.54,649,54,8.32,32293.17,20362.77,-36.94,2.04,31.52,598.02
C027,Back to School Campaign,Consideration,Instagram,2024-02-17,2024-03-19,Europe,25-34,535172,20435,3.82,1637,277,16.92,38872.02,142467.89,266.5,1.9,72.63,140.33
C028,Fitness Challenge Promo,Conversion,LinkedIn,2024-08-07,2024-08-18,Asia Pacific,35-44,446924,11539,2.58,1208,287,23.76,50142.45,165154.63,229.37,4.35,112.19,174.71
C029,Travel Season Deals,Retention,Email,2024-01-23,2024-02-08,Latin America,45-54,280076,22670,8.09,2996,1242,41.46,23684.66,772633.15,3162.17,1.04,84.57,19.07
C030,Tech Fest Campaign,Seasonal,YouTube,2024-06-11,2024-07-20,Middle East & Africa,55+,529057,13374,2.53,755,104,13.77,35126.99,34007.92,-3.19,2.63,66.4,337.76
C031,Flash Sale Weekend,Awareness,Google Ads,2024-09-20,2024-10-25,North America,18-24,1007312,19622,1.95,692,66,9.54,47449.98,24873.7,-47.58,2.42,47.11,718.94
C032,Bundle Offer Campaign,Consideration,Facebook,2024-07-10,2024-08-20,Europe,25-34,604542,17476,2.89,1167,202,17.31,45412.65,126380.14,178.29,2.6,75.12,224.82
C033,First Purchase Discount,Conversion,Instagram,2024-08-04,2024-09-14,Asia Pacific,35-44,597910,28507,4.77,3160,931,29.46,40237.04,516696.16,1184.13,1.41,67.3,43.22
C034,Anniversary Sale 2024,Retention,LinkedIn,2024-05-23,2024-06-03,Latin America,45-54,274533,9913,3.61,1155,436,37.75,21398.03,129444.59,504.94,2.16,77.94,49.08
C035,Pre-Launch Teaser,Seasonal,Email,2024-08-10,2024-08-21,Middle East & Africa,55+,513852,26187,5.1,1609,247,15.35,38972.75,66361.03,70.28,1.49,75.84,157.78
C036,Early Bird Special,Awareness,YouTube,2024-10-09,2024-10-17,North America,18-24,1041436,14570,1.4,438,32,7.31,40965.06,17170.96,-58.08,2.81,39.34,1280.16
C037,Exclusive Member Offer,Consideration,Google Ads,2024-06-30,2024-08-02,Europe,25-34,581619,17561,3.02,1107,203,18.34,38695.31,110557.58,185.71,2.2,66.53,190.62
C038,Regional Expansion APAC,Conversion,Facebook,2024-07-08,2024-08-08,Asia Pacific,35-44,554988,23298,4.2,2336,700,29.97,39501.91,456417.33,1055.43,1.7,71.18,56.43
C039,Sustainability Campaign,Retention,Instagram,2024-08-16,2024-09-27,Latin America,45-54,299892,19930,6.65,2640,873,33.07,19955.41,394968.17,1879.25,1.0,66.54,22.86
C040,Community Building Initiative,Seasonal,LinkedIn,2024-01-08,2024-02-11,Middle East & Africa,55+,561758,13137,2.34,565,63,11.15,25261.73,26127.54,3.43,1.92,44.97,400.98
C041,Gamification Promo,Awareness,Email,2024-07-30,2024-08-18,North America,18-24,956087,32218,3.37,1300,116,8.92,39580.34,78648.55,98.71,1.23,41.4,341.21
C042,Quiz & Win Campaign,Consideration,YouTube,2024-06-25,2024-07-12,Europe,25-34,613551,14131,2.3,1105,225,20.36,32869.23,73745.55,124.36,2.33,53.57,146.09
C043,User Generated Content Drive,Conversion,Google Ads,2024-01-06,2024-02-09,Asia Pacific,35-44,500393,24983,4.99,3218,902,28.03,41071.92,384817.65,836.94,1.64,82.08,45.53
C044,Podcast Sponsorship,Retention,Facebook,2024-10-14,2024-11-23,Latin America,45-54,301606,14294,4.74,1512,531,35.12,19683.84,318146.53,1516.28,1.38,65.26,37.07
C045,Webinar Lead Gen,Seasonal,Instagram,2024-08-09,2024-09-01,Middle East & Africa,55+,537435,21901,4.08,846,86,10.17,34625.93,29700.47,-14.22,1.58,64.43,402.63
C046,eBook Download Campaign,Awareness,LinkedIn,2024-11-03,2024-12-17,North America,18-24,766997,10579,1.38,364,31,8.52,48912.99,14496.33,-70.36,4.62,63.77,1577.84
C047,Case Study Series,Consideration,Email,2024-03-09,2024-04-18,Europe,25-34,509207,19520,3.83,1381,231,16.73,45880.04,134363.52,192.86,2.35,90.1,198.61
C048,Award Nomination Campaign,Conversion,YouTube,2024-07-02,2024-08-02,Asia Pacific,35-44,439028,16507,3.76,1698,428,25.21,37106.88,137161.55,269.64,2.25,84.52,86.7
C049,Partnership Co-Marketing,Retention,Google Ads,2024-11-21,2024-11-28,Latin America,45-54,189874,12845,6.77,1235,331,26.8,20032.62,137987.23,588.81,1.56,105.5,60.52
C050,Event Registration Drive,Seasonal,Facebook,2024-02-17,2024-03-11,Middle East & Africa,55+,635049,17065,2.69,1008,104,10.32,34495.09,41234.21,19.54,2.02,54.32,331.68
C051,Newsletter Sponsorship,Awareness,Instagram,2024-08-03,2024-08-11,North America,18-24,1246119,33452,2.68,1068,75,7.02,35605.61,25481.5,-28.43,1.06,28.57,474.74
C052,SMS Flash Campaign,Consideration,LinkedIn,2024-07-20,2024-08-12,Europe,25-34,570450,10212,1.79,606,116,19.14,42403.15,63779.06,50.41,4.15,74.33,365.54
C053,Push Notification Test,Conversion,Email,2024-04-20,2024-05-18,Asia Pacific,35-44,614234,37903,6.17,2986,920,30.81,52018.95,228585.18,339.43,1.37,84.69,56.54
C054,App Install Campaign,Retention,YouTube,2024-07-16,2024-07-28,Latin America,45-54,303644,12342,4.06,1149,313,27.24,22355.11,106692.3,377.26,1.81,73.62,71.42
C055,Loyalty Points Promo,Seasonal,Google Ads,2024-02-05,2024-03-06,Middle East & Africa,55+,472437,18971,4.02,1166,122,10.46,28535.02,57564.93,101.73,1.5,60.4,233.89
C056,Refer-a-Friend Bonus,Awareness,Facebook,2024-06-21,2024-07-02,North America,18-24,1229542,20053,1.63,573,42,7.33,27962.6,23479.2,-16.03,1.39,22.74,665.78
C057,Milestone Celebration,Consideration,Instagram,2024-05-18,2024-06-29,Europe,25-34,747311,24124,3.23,1730,268,15.49,35358.93,214891.47,507.74,1.47,47.31,131.94
C058,Year-End Review Campaign,Conversion,LinkedIn,2024-04-04,2024-04-15,Asia Pacific,35-44,454668,14693,3.23,1530,570,37.25,42242.31,251344.48,495.01,2.87,92.91,74.11
C059,Quarterly Newsletter,Retention,Email,2024-11-15,2024-12-20,Latin America,45-54,294179,21427,7.28,1984,736,37.1,18579.04,394968.57,2025.88,0.87,63.16,25.24
C060,Holiday Gift Guide,Seasonal,YouTube,2024-10-22,2024-11-05,Middle East & Africa,55+,466037,11712,2.51,539,68,12.62,30394.2,27808.54,-8.51,2.6,65.22,446.97
C061,Valentines Day Special,Awareness,Google Ads,2024-11-04,2024-11-16,North America,18-24,1132380,23678,2.09,694,58,8.36,47713.17,21425.12,-55.1,2.02,42.14,822.64
C062,Mothers Day Campaign,Consideration,Facebook,2024-10-15,2024-10-25,Europe,25-34,699978,18009,2.57,1594,279,17.5,37735.07,99041.12,162.46,2.1,53.91,135.25
C063,Fathers Day Offers,Conversion,Instagram,2024-02-16,2024-02-26,Asia Pacific,35-44,572288,30064,5.25,3248,883,27.19,45964.58,403069.49,776.91,1.53,80.32,52.06
C064,Independence Day Sale,Retention,LinkedIn,2024-10-29,2024-11-30,Latin America,45-54,315093,13758,4.37,1446,483,33.4,18261.28,283447.79,1452.18,1.33,57.96,37.81
C065,Diwali Festive Offers,Seasonal,Email,2024-11-23,2024-12-27,Middle East & Africa,55+,443704,18597,4.19,845,106,12.54,25811.84,46892.01,81.67,1.39,58.17,243.51
C066,Eid Special Campaign,Awareness,YouTube,2024-01-01,2024-01-22,North America,18-24,1033870,16040,1.55,394,29,7.36,39504.98,5600.32,-85.82,2.46,38.21,1362.24
C067,Halloween Spooky Deals,Consideration,Google Ads,2024-07-28,2024-08-30,Europe,25-34,626757,17709,2.83,1116,169,15.14,44710.77,73092.04,63.48,2.52,71.34,264.56
C068,Thanksgiving Special,Conversion,Facebook,2024-05-29,2024-06-30,Asia Pacific,35-44,552215,17824,3.23,1698,532,31.33,58291.08,211596.94,263.0,3.27,105.56,109.57
C069,Cyber Monday Deals,Retention,Instagram,2024-08-02,2024-08-27,Latin America,45-54,261182,17884,6.85,2228,692,31.06,16416.51,510263.0,3008.23,0.92,62.85,23.72
C070,Giving Tuesday Campaign,Seasonal,LinkedIn,2024-08-09,2024-09-22,Middle East & Africa,55+,633305,15315,2.42,599,70,11.69,26892.31,43055.95,60.11,1.76,42.46,384.18
C071,New Years Resolution Promo,Awareness,Email,2024-02-24,2024-03-29,North America,18-24,1307580,36331,2.78,1006,79,7.85,31367.91,39352.59,25.45,0.86,23.99,397.06
C072,Valentines Gift Guide,Consideration,YouTube,2024-10-17,2024-11-24,Europe,25-34,756851,19439,2.57,1591,344,21.62,28172.07,103049.49,265.79,1.45,37.22,81.9
C073,Spring Refresh Campaign,Conversion,Google Ads,2024-11-25,2024-12-08,Asia Pacific,35-44,551662,22602,4.1,2684,985,36.7,52747.79,538962.68,921.77,2.33,95.62,53.55
C074,Summer Solstice Sale,Retention,Facebook,2024-04-28,2024-05-16,Latin America,45-54,258687,14075,5.44,1700,583,34.29,17329.51,222329.09,1182.95,1.23,66.99,29.72
C075,Autumn Collection Launch,Seasonal,Instagram,2024-08-02,2024-09-09,Middle East & Africa,55+,463274,16555,3.57,857,89,10.39,33148.93,36282.71,9.45,2.0,71.55,372.46
C076,Winter Warmth Campaign,Awareness,LinkedIn,2024-08-02,2024-09-14,North America,18-24,1162611,13924,1.2,452,34,7.52,43945.87,15710.85,-64.25,3.16,37.8,1292.53
C077,Monsoon Special Offers,Consideration,Email,2024-01-27,2024-03-04,Europe,25-34,685346,29652,4.33,2054,378,18.4,41458.47,127566.11,207.7,1.4,60.49,109.68
C078,Back to Office Campaign,Conversion,YouTube,2024-07-11,2024-08-22,Asia Pacific,35-44,501956,18236,3.63,1644,558,33.94,55080.35,251940.01,357.4,3.02,109.73,98.71
C079,Graduation Season Deals,Retention,Google Ads,2024-05-31,2024-06-28,Latin America,45-54,243948,12683,5.2,1404,392,27.92,21340.43,203262.59,852.48,1.68,87.48,54.44
C080,Wedding Season Promo,Seasonal,Facebook,2024-07-19,2024-08-11,Middle East & Africa,55+,438316,12293,2.8,670,72,10.75,26843.09,31043.4,15.65,2.18,61.24,372.82
C081,Baby Shower Campaign,Awareness,Instagram,2024-01-17,2024-02-02,North America,18-24,1141051,23989,2.1,963,87,9.03,50765.19,44352.62,-12.63,2.12,44.49,583.51
C082,Pet Parents Promo,Consideration,LinkedIn,2024-09-24,2024-10-15,Europe,25-34,661123,13708,2.07,851,126,14.81,41566.31,90706.85,118.22,3.03,62.87,329.89
C083,Home Office Upgrade,Conversion,Email,2024-04-26,2024-05-09,Asia Pacific,35-44,533497,38360,7.19,4437,1671,37.66,43577.1,416665.94,856.16,1.14,81.68,26.08
C084,Fitness New Year Promo,Retention,YouTube,2024-04-07,2024-04-16,Latin America,45-54,301043,14025,4.66,1667,442,26.51,18234.44,263852.03,1347.0,1.3,60.57,41.25
C085,Mental Health Awareness,Seasonal,Google Ads,2024-01-16,2024-01-24,Middle East & Africa,55+,542434,20805,3.84,1167,154,13.2,29300.46,98831.1,237.3,1.41,54.02,190.26
C086,Pride Month Campaign,Awareness,Facebook,2024-09-22,2024-10-28,North America,18-24,1157022,20312,1.76,663,43,6.49,33036.43,12814.26,-61.21,1.63,28.55,768.29
C087,Women's Day Special,Consideration,Instagram,2024-06-01,2024-06-08,Europe,25-34,635738,18954,2.98,1758,281,15.98,43068.07,150970.4,250.54,2.27,67.74,153.27
C088,Men's Day Campaign,Conversion,LinkedIn,2024-08-13,2024-09-13,Asia Pacific,35-44,569607,17969,3.15,1426,444,31.14,52088.17,220904.51,324.1,2.9,91.45,117.32
C089,Children's Day Offers,Retention,Email,2024-09-18,2024-09-29,Latin America,45-54,339661,28770,8.47,3229,877,27.16,18371.92,489184.46,2562.67,0.64,54.09,20.95
C090,Teachers Day Special,Seasonal,YouTube,2024-04-14,2024-04-23,Middle East & Africa,55+,621997,14838,2.39,621,74,11.92,27732.44,33021.61,19.07,1.87,44.59,374.76
C091,Grandparents Day Promo,Awareness,Google Ads,2024-05-03,2024-05-24,North America,18-24,1112556,27869,2.5,828,66,7.97,42135.56,37676.59,-10.58,1.51,37.87,638.42
C092,Earth Day Green Campaign,Consideration,Facebook,2024-02-09,2024-03-20,Europe,25-34,663553,16941,2.55,1495,280,18.73,34618.44,111148.84,221.07,2.04,52.17,123.64
C093,World Health Day,Conversion,Instagram,2024-02-14,2024-03-16,Asia Pacific,35-44,430379,24174,5.62,2805,819,29.2,57361.07,332581.59,479.8,2.37,133.28,70.04
C094,International Yoga Day,Retention,LinkedIn,2024-09-14,2024-10-04,Latin America,45-54,273596,11344,4.15,1107,296,26.74,19103.02,86867.09,354.73,1.68,69.82,64.54
C095,World Environment Day,Seasonal,Email,2024-06-11,2024-06-23,Middle East & Africa,55+,577199,26809,4.64,1232,152,12.34,31815.08,81463.71,156.05,1.19,55.12,209.31
C096,Customer Appreciation Week,Awareness,YouTube,2024-01-22,2024-02-23,North America,18-24,1266921,17684,1.4,729,61,8.37,34259.77,32676.66,-4.62,1.94,27.04,561.64
C097,Employee Advocacy Drive,Consideration,Google Ads,2024-02-02,2024-02-14,Europe,25-34,772523,22027,2.85,1139,214,18.79,31777.1,108223.49,240.57,1.44,41.13,148.49
C098,Brand Ambassador Program,Conversion,Facebook,2024-03-15,2024-04-22,Asia Pacific,35-44,587443,19423,3.31,2157,702,32.55,43985.66,300139.18,582.36,2.26,74.88,62.66
C099,Local Community Outreach,Retention,Instagram,2024-03-24,2024-04-05,Latin America,45-54,265565,16538,6.23,1949,615,31.55,25439.66,311148.57,1123.08,1.54,95.79,41.37
C100,Small Business Saturday,Seasonal,LinkedIn,2024-01-27,2024-02-10,Middle East & Africa,55+,616481,12397,2.01,469,52,11.09,31285.99,24854.68,-20.56,2.52,50.75,601.65
C101,Shop Local Campaign,Awareness,Email,2024-02-15,2024-03-07,North America,18-24,934158,24873,2.66,824,60,7.28,32041.4,16929.28,-47.16,1.29,34.3,534.02
C102,Charity Partner Drive,Consideration,YouTube,2024-03-04,2024-03-23,Europe,25-34,715905,14350,2.0,1073,199,18.55,48353.8,121837.8,151.97,3.37,67.54,242.98
C103,Volunteer Program Promo,Conversion,Google Ads,2024-09-23,2024-10-21,Asia Pacific,35-44,453454,18453,4.07,1607,449,27.94,47010.63,228991.39,387.11,2.55,103.67,104.7
C104,Trial Extension Offer,Retention,Facebook,2024-03-17,2024-04-18,Latin America,45-54,247220,11858,4.8,1228,456,37.13,19261.67,219850.44,1041.39,1.62,77.91,42.24
C105,Upgrade Your Plan,Seasonal,Instagram,2024-09-18,2024-10-03,Middle East & Africa,55+,494382,20174,4.08,1208,157,13.0,30960.83,94104.06,203.95,1.53,62.63,197.2
C106,Premium Feature Launch,Awareness,LinkedIn,2024-01-03,2024-01-23,North America,18-24,1137752,13929,1.22,334,27,8.08,36429.78,10781.2,-70.41,2.62,32.02,1349.25
C107,Beta Tester Recruitment,Consideration,Email,2024-11-02,2024-11-26,Europe,25-34,710093,29763,4.19,1732,260,15.01,27932.78,121218.95,333.97,0.94,39.34,107.43
C108,Feedback Survey Drive,Conversion,YouTube,2024-01-24,2024-02-19,Asia Pacific,35-44,526381,18369,3.49,2149,671,31.22,46292.33,298461.0,544.73,2.52,87.94,68.99
C109,Net Promoter Score Push,Retention,Google Ads,2024-08-15,2024-08-23,Latin America,45-54,335311,21229,6.33,2827,844,29.85,19769.37,357561.64,1708.66,0.93,58.96,23.42
C110,Customer Storytelling,Seasonal,Facebook,2024-04-09,2024-05-15,Middle East & Africa,55+,535757,13947,2.6,698,87,12.46,30902.44,34701.88,12.29,2.22,57.68,355.2
C111,Behind the Scenes Series,Awareness,Instagram,2024-08-18,2024-09-18,North America,18-24,991338,24877,2.51,702,53,7.55,41491.79,12487.11,-69.9,1.67,41.85,782.86
C112,Day in the Life Content,Consideration,LinkedIn,2024-10-13,2024-10-30,Europe,25-34,813054,17770,2.19,1186,206,17.37,41431.48,69838.51,68.56,2.33,50.96,201.12
C113,Expert Interview Series,Conversion,Email,2024-11-08,2024-12-04,Asia Pacific,35-44,605340,36497,6.03,3971,1277,32.16,46163.59,703158.65,1423.19,1.26,76.26,36.15
C114,Industry Report Launch,Retention,YouTube,2024-05-09,2024-05-24,Latin America,45-54,376927,16739,4.44,2016,569,28.22,22709.34,103162.72,354.27,1.36,60.25,39.91
C115,Trend Report 2024,Seasonal,Google Ads,2024-10-02,2024-11-01,Middle East & Africa,55+,376481,13338,3.54,618,61,9.87,26477.11,25089.8,-5.24,1.99,70.33,434.05
C116,State of Industry Survey,Awareness,Facebook,2024-05-08,2024-05-22,North America,18-24,1124987,18160,1.61,582,45,7.73,45988.77,18562.11,-59.64,2.53,40.88,1021.97
C117,Benchmark Report Campaign,Consideration,Instagram,2024-01-26,2024-02-09,Europe,25-34,696966,20699,2.97,1875,367,19.57,47047.4,192926.37,310.07,2.27,67.5,128.19
C118,ROI Calculator Launch,Conversion,LinkedIn,2024-07-10,2024-07-22,Asia Pacific,35-44,636152,17682,2.78,2304,669,29.04,45271.59,256936.62,467.54,2.56,71.16,67.67
C119,Savings Calculator Promo,Retention,Email,2024-05-11,2024-06-24,Latin America,45-54,317861,28311,8.91,3468,1012,29.18,20062.38,609552.37,2938.29,0.71,63.12,19.82
C120,Free Consultation Drive,Seasonal,YouTube,2024-05-22,2024-06-18,Middle East & Africa,55+,382540,9441,2.47,485,60,12.37,20876.66,30497.95,46.09,2.21,54.57,347.94
